###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58037.635279  13.616  0.003 12984   44 o  0 1718.56 123.84754 -38.98983  1666.50  4612.12 2.32 2.21 -22.2 -0.420 18.66 19.35 02a58037o0713o
58039.638010  13.439  0.004 15291   59 o  0  86.94 123.84754 -38.98983  8060.02  8967.11 4.20 3.69 -86.6 -0.370 18.10 19.16 01a58039o0815o
58043.620328  20.588  1.354    21   29 o  0   0.95 123.84754 -38.98983    46.93  7347.44 3.91 3.15 -89.3 -0.341 18.76 20.25 01a58043o0925o
58043.635532  13.430  0.003 15422   49 o  0 184.48 123.84754 -38.98983  9857.76  7280.27 4.60 3.77 -87.8 -0.359 18.53 20.06 01a58043o0958o
58043.636446  13.426  0.003 15475   51 o  0 161.93 123.84754 -38.98983  9840.63  7238.81 4.68 3.72 -88.0 -0.367 18.38 19.86 01a58043o0960o
58043.639675  13.497  0.004 14497   61 o  0 168.00 123.84754 -38.98983    64.10  7326.84 4.09 3.40 -88.3 -0.356 18.23 19.59 01a58043o0967o
58043.651311  13.460  0.011 15000  165 o  0  17.55 123.84754 -38.98983    64.89  7171.18 3.74 3.01  87.7 -0.357 16.97 17.38 01a58043o0992o
58043.652293  13.402  0.041 15816  650 o  0   1.55 123.84754 -38.98983  9879.37  7263.10 4.18 3.15 -88.0 -0.461 16.61 17.02 01a58043o0994o
58047.621296  13.479  0.003 14735   45 o  0 455.64 123.84754 -38.98983  7108.79  6810.81 3.80 3.16 -83.7 -0.417 18.71 20.07 01a58047o0931o
58047.626798  13.419  0.003 15571   47 o  0 215.24 123.84754 -38.98983  7084.64  6755.00 4.06 3.48  84.3 -0.396 18.63 20.07 01a58047o0943o
58047.634153  13.473  0.003 14819   45 o  0 424.99 123.84754 -38.98983  7120.89  6807.51 3.69 3.10  86.0 -0.415 18.72 20.00 01a58047o0959o
58047.648912  13.453  0.017 15092  263 o  0   5.21 123.84754 -38.98983  7129.31  6641.49 3.58 2.80 -86.3 -0.430 17.34 17.57 01a58047o0991o
58055.584969  13.452  0.003 15103   44 o  0 281.36 123.84754 -38.98983  6287.52  6723.57 4.21 3.87  79.5 -0.390 18.77 20.59 01a58055o0865o
58055.591880  13.463  0.003 14957   44 o  0 516.34 123.84754 -38.98983  6259.23  6664.87 3.88 3.37  82.0 -0.425 18.89 20.60 01a58055o0880o
58055.598775  13.471  0.003 14841   43 o  0 496.60 123.84754 -38.98983  6308.40  6721.02 3.95 3.46 -87.9 -0.403 18.86 20.61 01a58055o0895o
58055.605686  13.493  0.003 14554   41 o  0 819.48 123.84754 -38.98983  6312.78  6583.52 3.64 3.21  89.8 -0.415 18.96 20.66 01a58055o0910o
58059.585573  13.509  0.004 14333   60 o  0 172.51 123.84754 -38.98983  7582.34  6963.38 3.83 2.88 -87.5 -0.427 18.21 19.08 01a58059o0787o
58059.593644  13.517  0.004 14234   52 o  0 341.65 123.84754 -38.98983  7554.08  6898.75 3.63 2.65 -87.5 -0.451 18.35 19.15 01a58059o0804o
58059.601573  13.503  0.004 14420   57 o  0 178.29 123.84754 -38.98983  7602.35  6949.85 3.69 2.81 -88.6 -0.431 18.35 19.24 01a58059o0821o
58059.609414  13.487  0.004 14628   53 o  0 249.92 123.84754 -38.98983  7605.34  6807.46 3.76 2.92 -87.5 -0.430 18.41 19.42 01a58059o0838o
58063.591425  13.448  0.004 15164   63 o  0  85.14 123.84754 -38.98983  9810.82  7746.47 4.26 3.30 -88.5 -0.377 18.13 19.18 01a58063o0892o
58063.595150  13.470  0.004 14856   58 o  0 115.03 123.84754 -38.98983  9774.08  7695.93 4.26 3.27 -87.4 -0.384 18.20 19.20 01a58063o0900o
