HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457420.65322,2016-02-02.1500246,be,1.46,17.458,13.450,0.005,15.995,0.080,V
2457423.73800,2016-02-05.2347686,be,1.61,17.483,13.469,0.005,15.718,0.078,V
2457427.74575,2016-02-09.2424986,be,1.50,17.615,13.489,0.005,15.434,0.069,V
2457429.64266,2016-02-11.1394039,be,1.65,17.522,13.465,0.005,15.776,0.075,V
2457436.70565,2016-02-18.2024037,be,1.68,17.139,13.493,0.008,15.365,0.107,V
2457439.80248,2016-02-21.2992631,be,1.53,16.793,13.504,0.011,15.210,0.147,V
2457442.66337,2016-02-24.1601706,be,1.46,16.851,13.502,0.010,15.247,0.139,V
2457445.78982,2016-02-27.2866668,be,1.43,17.071,13.506,0.008,15.184,0.114,V
2457447.78828,2016-02-29.2851586,be,1.46,17.087,13.479,0.008,15.566,0.112,V
2457448.74960,2016-03-01.2464864,be,1.54,17.489,13.493,0.005,15.378,0.077,V
2457449.71905,2016-03-02.2159606,be,1.51,17.509,13.493,0.005,15.368,0.076,V
2457457.58613,2016-03-10.0832032,be,1.57,17.678,13.475,0.005,15.622,0.065,V
2457461.71867,2016-03-14.2158586,be,1.53,17.598,13.469,0.005,15.715,0.070,V
2457466.73463,2016-03-19.2319766,be,1.69,16.931,13.480,0.009,15.559,0.130,V
2457471.53892,2016-03-24.0364349,be,1.53,17.054,13.480,0.008,15.551,0.116,V
2457477.70449,2016-03-30.2022394,be,1.46,17.288,13.509,0.007,15.142,0.093,V
2457478.66582,2016-03-31.1636084,be,1.44,17.582,13.460,0.005,15.839,0.071,V
2457479.61089,2016-04-01.1087197,be,1.53,17.884,13.477,0.004,15.594,0.054,V
2457486.67880,2016-04-08.1769361,be,1.45,17.633,13.493,0.005,15.377,0.068,V
2457526.55453,2016-05-18.0547896,be,1.55,17.071,13.450,0.008,15.992,0.114,V
2457536.51358,2016-05-28.0143950,be,1.55,17.394,13.492,0.006,15.388,0.085,V
2457550.49272,2016-06-10.9942658,be,2.13,17.419,13.457,0.006,15.891,0.083,V
2457557.45269,2016-06-17.9545756,be,1.54,17.215,13.478,0.007,15.579,0.100,V
2457632.91897,2016-09-01.4221672,be,1.62,16.102,13.448,0.019,16.022,0.278,V
2457633.91509,2016-09-02.4182773,be,2.08,16.967,13.489,0.009,15.426,0.125,V
2457636.90850,2016-09-05.4116282,be,1.54,17.196,13.458,0.007,15.880,0.102,V
2457638.90522,2016-09-07.4082998,be,1.48,17.357,13.493,0.006,15.375,0.087,V
2457641.89464,2016-09-10.3976549,be,1.49,17.446,13.478,0.006,15.592,0.081,V
2457659.86667,2016-09-28.3691118,be,1.45,17.409,13.462,0.006,15.818,0.083,V
2457663.85017,2016-10-02.3524513,be,1.68,17.446,13.459,0.006,15.862,0.081,V
2457669.83383,2016-10-08.3358517,be,1.60,17.611,13.467,0.005,15.745,0.069,V
2457671.82861,2016-10-10.3305371,be,1.60,17.044,13.484,0.008,15.494,0.117,V
2457674.83663,2016-10-13.3384069,be,1.62,17.453,13.496,0.006,15.335,0.080,V
2457686.86765,2016-10-25.3688109,be,1.47,17.491,13.478,0.005,15.581,0.077,V
2457687.78858,2016-10-26.2897002,be,1.69,17.661,13.469,0.005,15.722,0.066,V
2457690.77488,2016-10-29.2758285,be,1.65,17.485,13.454,0.005,15.936,0.078,V
2457693.76919,2016-11-01.269975,be,1.50,17.504,13.500,0.005,15.278,0.076,V
2457696.77115,2016-11-04.2717672,be,1.52,17.668,13.473,0.005,15.656,0.066,V
2457699.75173,2016-11-07.2521733,be,1.66,17.363,13.456,0.006,15.901,0.087,V
2457700.80789,2016-11-08.3082747,be,2.03,17.728,13.482,0.004,15.531,0.062,V
2457710.85480,2016-11-18.3546118,be,1.45,17.162,13.488,0.007,15.443,0.105,V
2457713.77585,2016-11-21.2754996,be,1.56,17.513,13.488,0.005,15.446,0.076,V
2457716.77804,2016-11-24.2775187,be,1.70,17.763,13.474,0.004,15.648,0.060,V
2457720.69759,2016-11-28.1968451,be,1.53,17.742,13.474,0.004,15.649,0.061,V
2457721.79748,2016-11-29.2966740,be,1.47,17.561,13.457,0.005,15.897,0.073,V
2457725.70900,2016-12-03.2079818,be,1.66,17.740,13.483,0.004,15.509,0.062,V
2457728.74478,2016-12-06.2435917,be,1.51,17.867,13.474,0.004,15.639,0.055,V
2457732.77475,2016-12-10.2733469,be,1.58,17.460,13.474,0.006,15.639,0.080,V
2457738.76613,2016-12-16.2644304,be,1.55,17.347,13.476,0.006,15.613,0.088,V
2457740.64341,2016-12-18.1416171,be,1.54,17.558,13.481,0.005,15.541,0.073,V
2457743.80619,2016-12-21.3042526,be,1.54,17.661,13.475,0.005,15.628,0.066,V
2457746.76177,2016-12-24.2596984,be,1.52,17.584,13.475,0.005,15.634,0.071,V
2457749.73273,2016-12-27.2305328,be,1.64,17.865,13.483,0.004,15.520,0.055,V
2457752.63575,2016-12-30.1334290,be,1.59,17.659,13.499,0.005,15.293,0.066,V
2457754.80539,2017-01-01.3029870,be,1.50,18.012,13.486,0.003,15.477,0.048,V
2457757.74982,2017-01-04.2472976,be,1.48,17.821,13.488,0.004,15.446,0.057,V
2457760.68089,2017-01-07.1782627,be,1.64,17.570,13.490,0.005,15.416,0.072,V
2457761.82541,2017-01-08.3227450,be,1.50,17.836,13.487,0.004,15.463,0.056,V
2457762.58520,2017-01-09.0825121,be,1.50,16.977,13.488,0.009,15.445,0.124,V
2457764.57354,2017-01-11.0707976,be,1.47,16.939,13.486,0.009,15.467,0.129,V
2457766.75996,2017-01-13.2571435,be,1.56,16.842,13.503,0.010,15.226,0.141,V
2457768.79119,2017-01-15.2883209,be,1.61,17.103,13.489,0.008,15.423,0.111,V
2457770.73719,2017-01-17.2342666,be,1.67,17.516,13.497,0.005,15.311,0.076,V
2457771.67963,2017-01-18.1766805,be,1.53,17.633,13.491,0.005,15.393,0.068,V
2457772.58775,2017-01-19.0847872,be,1.47,17.467,13.463,0.005,15.799,0.079,V
2457774.59823,2017-01-21.0952122,be,1.42,17.824,13.489,0.004,15.423,0.057,V
2457775.66455,2017-01-22.1615156,be,1.54,17.761,13.484,0.004,15.497,0.060,V
2457778.70502,2017-01-25.2019269,be,1.49,17.649,13.482,0.005,15.530,0.067,V
2457780.62604,2017-01-27.1229168,be,1.39,17.614,13.487,0.005,15.452,0.069,V
2457781.65364,2017-01-28.1504914,be,1.45,17.522,13.462,0.005,15.811,0.075,V
2457783.60860,2017-01-30.1054321,be,1.44,17.594,13.498,0.005,15.296,0.070,V
2457785.63404,2017-02-01.1308480,be,1.56,17.602,13.465,0.005,15.770,0.070,V
2457787.71517,2017-02-03.2119576,be,1.73,17.604,13.505,0.005,15.198,0.070,V
2457791.64018,2017-02-07.1369372,be,1.54,17.207,13.505,0.007,15.197,0.101,V
2457794.82802,2017-02-10.3247600,be,1.59,16.544,13.450,0.013,15.990,0.185,V
2457796.65820,2017-02-12.1549465,be,1.50,16.358,13.492,0.016,15.382,0.220,V
2457797.71305,2017-02-13.2097975,be,1.54,17.063,13.495,0.008,15.347,0.115,V
2457799.75737,2017-02-15.2541157,be,1.48,17.039,13.478,0.008,15.578,0.117,V
2457800.66512,2017-02-16.1618689,be,1.49,17.383,13.498,0.006,15.300,0.085,V
2457801.58160,2017-02-17.0783517,be,1.61,17.638,13.488,0.005,15.444,0.068,V
2457803.55615,2017-02-19.0529112,be,1.50,17.750,13.484,0.004,15.492,0.061,V
2457805.65340,2017-02-21.1501799,be,1.48,17.684,13.484,0.005,15.498,0.065,V
2457807.61822,2017-02-23.1150211,be,1.42,17.642,13.457,0.005,15.882,0.067,V
2457816.66438,2017-03-04.1613232,be,1.53,17.747,13.482,0.004,15.526,0.061,V
2457818.55203,2017-03-06.0490100,be,1.73,17.368,13.455,0.006,15.916,0.087,V
2457822.67863,2017-03-10.1756976,be,1.49,16.828,13.479,0.010,15.570,0.143,V
