HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455950.93973,2012-01-24.4367471,ba,2.11,99.990,99.990,99.990,99.990,99.990,V
2455966.90574,2012-02-09.4026062,ba,2.14,15.884,13.487,0.024,15.452,0.345,V
2455966.90759,2012-02-09.4044508,ba,2.12,99.990,99.990,99.990,99.990,99.990,V
2455970.92286,2012-02-13.4197145,ba,2.10,16.508,13.485,0.013,15.474,0.196,V
2455970.92502,2012-02-13.4218726,ba,2.09,16.459,13.468,0.014,15.727,0.206,V
2455979.86800,2012-02-22.3649138,ba,2.40,16.312,13.487,0.017,15.449,0.246,V
2455979.87010,2012-02-22.3670106,ba,2.40,16.277,13.480,0.018,15.551,0.248,V
2455988.84128,2012-03-02.3383148,ba,2.18,16.136,13.514,0.021,15.080,0.283,V
2455988.84329,2012-03-02.3403342,ba,2.18,16.161,13.528,0.020,14.877,0.272,V
2455999.80611,2012-03-13.3034061,ba,2.06,16.220,13.484,0.019,15.504,0.266,V
2455999.80822,2012-03-13.3055182,ba,2.06,16.324,13.466,0.017,15.764,0.246,V
2456009.79314,2012-03-23.2907545,bb,2.06,14.217,12.980,0.072,24.637,1.623,V
2456009.79314,2012-03-23.2907531,ba,1.68,14.447,13.543,0.096,14.679,1.284,V
2456009.79489,2012-03-23.2925048,bb,2.04,14.517,13.247,0.070,19.280,1.231,V
2456009.79495,2012-03-23.2925651,ba,1.70,14.825,13.555,0.069,14.515,0.915,V
2456013.80646,2012-03-27.3042221,ba,2.36,16.187,13.497,0.020,15.315,0.282,V
2456013.80646,2012-03-27.3042230,bb,1.68,16.160,13.463,0.021,15.803,0.305,V
2456013.80869,2012-03-27.3064476,ba,2.36,16.290,13.451,0.018,15.975,0.263,V
2456013.80872,2012-03-27.3064862,bb,1.66,16.149,13.441,0.021,16.116,0.311,V
2456018.77356,2012-04-01.2715141,ba,2.04,15.864,13.552,0.027,14.560,0.358,V
2456018.77356,2012-04-01.2715144,bb,2.07,15.800,13.420,0.026,16.433,0.402,V
2456018.77554,2012-04-01.2735006,bb,2.06,15.952,13.482,0.025,15.517,0.347,V
2456018.77554,2012-04-01.2734998,ba,2.05,15.868,13.536,0.027,14.774,0.355,V
2456028.73251,2012-04-11.2309143,ba,2.12,15.991,13.518,0.023,15.027,0.328,V
2456028.73454,2012-04-11.2329440,ba,2.09,16.225,13.560,0.021,14.454,0.273,V
2457420.65312,2016-02-02.1500246,be,1.46,16.110,13.436,0.019,16.202,0.278,V
2457420.65440,2016-02-02.1513016,be,1.46,16.149,13.471,0.018,15.684,0.269,V
2457420.65569,2016-02-02.1525914,be,1.46,16.158,13.471,0.018,15.674,0.267,V
2457423.73789,2016-02-05.2347686,be,1.61,15.927,13.495,0.023,15.340,0.329,V
2457423.73884,2016-02-05.2357212,be,1.57,15.859,13.471,0.024,15.695,0.349,V
2457423.73981,2016-02-05.2366862,be,1.56,15.912,13.469,0.023,15.720,0.333,V
2457427.74564,2016-02-09.2424986,be,1.50,16.111,13.487,0.019,15.457,0.278,V
2457427.74692,2016-02-09.2437841,be,1.53,16.162,13.486,0.019,15.475,0.266,V
2457427.74820,2016-02-09.2450618,be,1.49,16.167,13.498,0.019,15.293,0.264,V
2457429.64255,2016-02-11.1394039,be,1.65,16.161,13.480,0.018,15.563,0.267,V
2457429.64382,2016-02-11.1406873,be,1.60,16.158,13.482,0.019,15.524,0.266,V
2457429.64512,2016-02-11.1419774,be,1.57,16.160,13.448,0.018,16.021,0.265,V
2457436.70553,2016-02-18.2024037,be,1.68,15.978,13.511,0.023,15.118,0.314,V
2457436.70681,2016-02-18.2036913,be,1.62,15.995,13.467,0.021,15.736,0.309,V
2457436.70809,2016-02-18.2049667,be,1.64,15.975,13.512,0.023,15.113,0.314,V
2457439.80236,2016-02-21.2992631,be,1.53,15.574,13.513,0.033,15.093,0.454,V
2457439.80364,2016-02-21.3005439,be,1.60,15.650,13.526,0.031,14.915,0.424,V
2457439.80492,2016-02-21.3018210,be,1.53,15.649,13.480,0.030,15.561,0.425,V
2457442.66324,2016-02-24.1601706,be,1.46,15.762,13.506,0.027,15.189,0.382,V
2457442.66453,2016-02-24.1614601,be,1.45,15.851,13.497,0.025,15.313,0.352,V
2457442.66581,2016-02-24.1627372,be,1.49,15.773,13.519,0.027,14.999,0.379,V
2457445.78969,2016-02-27.2866668,be,1.43,16.032,13.538,0.022,14.746,0.299,V
2457445.79098,2016-02-27.2879548,be,1.48,15.875,13.476,0.024,15.625,0.345,V
2457445.79227,2016-02-27.2892427,be,1.43,15.845,13.485,0.025,15.483,0.354,V
2457447.78815,2016-02-29.2851586,be,1.46,15.982,13.505,0.022,15.208,0.313,V
